PREDICTION_SCORE,FILEPATH,POINT_NO,REEF_NAME,PREDICTION,Y,X
0.689276,NT/Havannah Island MMP1 2m/Transect1/P4062821.JPG,3,Havannah Island MMP1 2m,HARD CORAL,0.5,0.5
0.72261,NT/Havannah Island MMP1 2m/Transect1/P4062826.JPG,4,Havannah Island MMP1 2m,HARD CORAL,0.75,0.25
0.263286,NT/Havannah Island MMP1 2m/Transect1/P4062818.JPG,5,Havannah Island MMP1 2m,ABIOTIC,0.75,0.75
0.954477,NT/Havannah Island MMP1 2m/Transect1/P4062828.JPG,2,Havannah Island MMP1 2m,HARD CORAL,0.25,0.75
0.856985,NT/Havannah Island MMP1 2m/Transect1/P4062818.JPG,2,Havannah Island MMP1 2m,SOFT CORAL,0.25,0.75
0.636461,NT/Havannah Island MMP1 2m/Transect1/P4062826.JPG,3,Havannah Island MMP1 2m,HARD CORAL,0.5,0.5
0.997285,NT/Havannah Island MMP1 2m/Transect1/P4062822.JPG,3,Havannah Island MMP1 2m,SOFT CORAL,0.5,0.5
0.859739,NT/Havannah Island MMP1 2m/Transect1/P4062821.JPG,5,Havannah Island MMP1 2m,HARD CORAL,0.75,0.75
0.444286,NT/Havannah Island MMP1 2m/Transect1/P4062827.JPG,1,Havannah Island MMP1 2m,HARD CORAL,0.25,0.25
0.289986,NT/Havannah Island MMP1 2m/Transect1/P4062820.JPG,4,Havannah Island MMP1 2m,HARD CORAL,0.75,0.25
0.350381,NT/Havannah Island MMP1 2m/Transect1/P4062822.JPG,5,Havannah Island MMP1 2m,ALGAE,0.75,0.75
0.648162,NT/Havannah Island MMP1 2m/Transect1/P4062824.JPG,4,Havannah Island MMP1 2m,SOFT CORAL,0.75,0.25
0.683757,NT/Havannah Island MMP1 2m/Transect1/P4062825.JPG,5,Havannah Island MMP1 2m,SPONGE,0.75,0.75
0.945249,NT/Havannah Island MMP1 2m/Transect1/P4062828.JPG,3,Havannah Island MMP1 2m,HARD CORAL,0.5,0.5
0.469046,NT/Havannah Island MMP1 2m/Transect1/P4062822.JPG,4,Havannah Island MMP1 2m,HARD CORAL,0.75,0.25
0.950985,NT/Havannah Island MMP1 2m/Transect1/P4062825.JPG,1,Havannah Island MMP1 2m,SOFT CORAL,0.25,0.25
0.76466,NT/Havannah Island MMP1 2m/Transect1/P4062821.JPG,4,Havannah Island MMP1 2m,SOFT CORAL,0.75,0.25
0.662686,NT/Havannah Island MMP1 2m/Transect1/P4062821.JPG,2,Havannah Island MMP1 2m,HARD CORAL,0.25,0.75
0.336042,NT/Havannah Island MMP1 2m/Transect1/P4062826.JPG,1,Havannah Island MMP1 2m,ALGAE,0.25,0.25
0.563535,NT/Havannah Island MMP1 2m/Transect1/P4062827.JPG,4,Havannah Island MMP1 2m,SOFT CORAL,0.75,0.25
0.806941,NT/Havannah Island MMP1 2m/Transect1/P4062820.JPG,5,Havannah Island MMP1 2m,OTHER,0.75,0.75
0.959073,NT/Havannah Island MMP1 2m/Transect1/P4062820.JPG,3,Havannah Island MMP1 2m,SOFT CORAL,0.5,0.5
0.60354,NT/Havannah Island MMP1 2m/Transect1/P4062827.JPG,2,Havannah Island MMP1 2m,SOFT CORAL,0.25,0.75
0.448945,NT/Havannah Island MMP1 2m/Transect1/P4062822.JPG,2,Havannah Island MMP1 2m,HARD CORAL,0.25,0.75
0.532436,NT/Havannah Island MMP1 2m/Transect1/P4062823.JPG,5,Havannah Island MMP1 2m,HARD CORAL,0.75,0.75
0.82773,NT/Havannah Island MMP1 2m/Transect1/P4062818.JPG,4,Havannah Island MMP1 2m,HARD CORAL,0.75,0.25
0.742387,NT/Havannah Island MMP1 2m/Transect1/P4062826.JPG,2,Havannah Island MMP1 2m,SOFT CORAL,0.25,0.75
0.930734,NT/Havannah Island MMP1 2m/Transect1/P4062818.JPG,1,Havannah Island MMP1 2m,HARD CORAL,0.25,0.25
0.923051,NT/Havannah Island MMP1 2m/Transect1/P4062823.JPG,3,Havannah Island MMP1 2m,SOFT CORAL,0.5,0.5
0.609582,NT/Havannah Island MMP1 2m/Transect1/P4062826.JPG,5,Havannah Island MMP1 2m,HARD CORAL,0.75,0.75
0.980438,NT/Havannah Island MMP1 2m/Transect1/P4062825.JPG,4,Havannah Island MMP1 2m,HARD CORAL,0.75,0.25
0.470351,NT/Havannah Island MMP1 2m/Transect1/P4062824.JPG,5,Havannah Island MMP1 2m,OTHER,0.75,0.75
0.32014,NT/Havannah Island MMP1 2m/Transect1/P4062828.JPG,1,Havannah Island MMP1 2m,ALGAE,0.25,0.25
0.826173,NT/Havannah Island MMP1 2m/Transect1/P4062823.JPG,1,Havannah Island MMP1 2m,SOFT CORAL,0.25,0.25
0.284015,NT/Havannah Island MMP1 2m/Transect1/P4062827.JPG,5,Havannah Island MMP1 2m,SOFT CORAL,0.75,0.75
0.520481,NT/Havannah Island MMP1 2m/Transect1/P4062828.JPG,4,Havannah Island MMP1 2m,ALGAE,0.75,0.25
0.446178,NT/Havannah Island MMP1 2m/Transect1/P4062827.JPG,3,Havannah Island MMP1 2m,HARD CORAL,0.5,0.5
0.974584,NT/Havannah Island MMP1 2m/Transect1/P4062824.JPG,1,Havannah Island MMP1 2m,SOFT CORAL,0.25,0.25
0.994026,NT/Havannah Island MMP1 2m/Transect1/P4062824.JPG,3,Havannah Island MMP1 2m,SOFT CORAL,0.5,0.5
0.979666,NT/Havannah Island MMP1 2m/Transect1/P4062818.JPG,3,Havannah Island MMP1 2m,SOFT CORAL,0.5,0.5
0.730991,NT/Havannah Island MMP1 2m/Transect1/P4062822.JPG,1,Havannah Island MMP1 2m,SOFT CORAL,0.25,0.25
