PREDICTION_SCORE,FILEPATH,POINT_NO,REEF_NAME,PREDICTION,Y,X
0.845192,NV/Hastings LTMP1 3m/Transect1/P6050586.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.854314,NV/Hastings LTMP1 3m/Transect1/P6050584.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.853524,NV/Hastings LTMP1 3m/Transect1/P6050584.JPG,1,Hastings LTMP1 3m,SOFT CORAL,0.25,0.25
0.693538,NV/Hastings LTMP1 3m/Transect1/P6050576.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.683144,NV/Hastings LTMP1 3m/Transect1/P6050577.JPG,4,Hastings LTMP1 3m,SPONGE,0.75,0.25
0.8266,NV/Hastings LTMP1 3m/Transect1/P6050581.JPG,5,Hastings LTMP1 3m,SOFT CORAL,0.75,0.75
0.479741,NV/Hastings LTMP1 3m/Transect1/P6050576.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.839658,NV/Hastings LTMP1 3m/Transect1/P6050574.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.932252,NV/Hastings LTMP1 3m/Transect1/P6050579.JPG,3,Hastings LTMP1 3m,OTHER,0.5,0.5
0.978969,NV/Hastings LTMP1 3m/Transect1/P6050586.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.513455,NV/Hastings LTMP1 3m/Transect1/P6050583.JPG,1,Hastings LTMP1 3m,ALGAE,0.25,0.25
0.825756,NV/Hastings LTMP1 3m/Transect1/P6050577.JPG,3,Hastings LTMP1 3m,SPONGE,0.5,0.5
0.661044,NV/Hastings LTMP1 3m/Transect1/P6050580.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.345232,NV/Hastings LTMP1 3m/Transect1/P6050580.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.412949,NV/Hastings LTMP1 3m/Transect1/P6050584.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.857851,NV/Hastings LTMP1 3m/Transect1/P6050575.JPG,3,Hastings LTMP1 3m,ABIOTIC,0.5,0.5
0.650107,NV/Hastings LTMP1 3m/Transect1/P6050573.JPG,2,Hastings LTMP1 3m,SOFT CORAL,0.25,0.75
0.805346,NV/Hastings LTMP1 3m/Transect1/P6050584.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.422741,NV/Hastings LTMP1 3m/Transect1/P6050573.JPG,5,Hastings LTMP1 3m,ALGAE,0.75,0.75
0.982816,NV/Hastings LTMP1 3m/Transect1/P6050573.JPG,4,Hastings LTMP1 3m,HARD CORAL,0.75,0.25
0.659157,NV/Hastings LTMP1 3m/Transect1/P6050573.JPG,3,Hastings LTMP1 3m,SOFT CORAL,0.5,0.5
0.556624,NV/Hastings LTMP1 3m/Transect1/P6050583.JPG,3,Hastings LTMP1 3m,OTHER,0.5,0.5
0.528333,NV/Hastings LTMP1 3m/Transect1/P6050574.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.984595,NV/Hastings LTMP1 3m/Transect1/P6050574.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.950257,NV/Hastings LTMP1 3m/Transect1/P6050581.JPG,4,Hastings LTMP1 3m,SOFT CORAL,0.75,0.25
0.529193,NV/Hastings LTMP1 3m/Transect1/P6050577.JPG,5,Hastings LTMP1 3m,HARD CORAL,0.75,0.75
0.675521,NV/Hastings LTMP1 3m/Transect1/P6050583.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.507794,NV/Hastings LTMP1 3m/Transect1/P6050575.JPG,1,Hastings LTMP1 3m,OTHER,0.25,0.25
0.87183,NV/Hastings LTMP1 3m/Transect1/P6050575.JPG,4,Hastings LTMP1 3m,SOFT CORAL,0.75,0.25
0.609735,NV/Hastings LTMP1 3m/Transect1/P6050583.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.862374,NV/Hastings LTMP1 3m/Transect1/P6050580.JPG,3,Hastings LTMP1 3m,HARD CORAL,0.5,0.5
0.938328,NV/Hastings LTMP1 3m/Transect1/P6050579.JPG,4,Hastings LTMP1 3m,ALGAE,0.75,0.25
0.989997,NV/Hastings LTMP1 3m/Transect1/P6050581.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.463081,NV/Hastings LTMP1 3m/Transect1/P6050577.JPG,1,Hastings LTMP1 3m,HARD CORAL,0.25,0.25
0.820184,NV/Hastings LTMP1 3m/Transect1/P6050577.JPG,2,Hastings LTMP1 3m,ALGAE,0.25,0.75
0.458449,NV/Hastings LTMP1 3m/Transect1/P6050581.JPG,3,Hastings LTMP1 3m,ALGAE,0.5,0.5
0.498563,NV/Hastings LTMP1 3m/Transect1/P6050583.JPG,5,Hastings LTMP1 3m,OTHER,0.75,0.75
